1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
2．（2017•淮安）-2的相反数是（　　）A．2 B．-2 C．12D．-12难度：0.98真题：66组卷：1159
3．（2017•通辽）-5的相反数是（　　）A．5 B．-5 C．15D．−15难度：0.99真题：42组卷：987
4．（2017•长春）3的相反数是（　　）A．-3 B．-13C．13D．3难度：0.98真题：22组卷：145
5．（2017•重庆）5的相反数是（　　）A．-5 B．5 C．-15D．15难度：0.60真题：3组卷：52
6．（2017•遵义）-3的相反数是（　　）A．-3 B．3 C．13D．−13难度：0.60真题：3组卷：78
7．（2017•张家界）-2017的相反数是（　　）A．-2017 B．2017 C．-12017D．12017难度：0.60真题：3组卷：151
8．（2017•广东）5的相反数是（　　）A．15B．5 C．-15D．-5难度：0.60真题：2组卷：163
9．（2017•江西）-6的相反数是（　　）A．16B．-16C．6 D．-6难度：0.60真题：2组卷：50
10．（2017•荆门）-23的相反数是（　　）A．-32B．32C．23D．-23难度：0.60真题：1组卷：7
11．（2017•台州）5的相反数是（　　）A．5 B．-5 C．15D．-15难度：0.60真题：1组卷：27
12．（2017•岳阳）6的相反数是（　　）A．-6 B．16C．6 D．±6难度：0.60真题：1组卷：27
13．（2017•绵阳）中国人最早使用负数，可追溯到两千多年前的秦汉时期，-0.5的相反数是（　　）A．0.5 B．±0.5 C．-0.5 D．5难度：0.60真题：1组卷：144
14．（2017•宿迁）5的相反数是（　　）A．5 B．15C．−15D．-5难度：0.60真题：1组卷：16
15．（2017•温州）-6的相反数是（　　）A．6 B．1 C．0 D．-6难度：0.60真题：1组卷：43
16．（2017•淄博）-23的相反数是（　　）A．32B．−32C．23D．-23难度：0.60真题：1组卷：45
17．（2017•广安）2的相反数是（　　）A．2 B．12C．-12D．-2难度：0.60真题：1组卷：57
18．（2017•贵港）7的相反数是（　　）A．7 B．-7 C．17D．-17难度：0.60真题：1组卷：14
19．（2017•绍兴）-5的相反数是（　　）A．15B．5 C．-15D．-5难度：0.60真题：1组卷：59
20．（2017•青岛）-18的相反数是（　　）A．8 B．-8 C．18D．-18难度：0.60真题：1组卷：93
21．（2017•营口）-5的相反数是（　　）A．-5 B．±5 C．15D．5难度：0.60真题：1组卷：5
22．（2017•常州）-2的相反数是（　　）A．−12B．12C．±2 D．2难度：0.60真题：1组卷：0
23．（2017•临沂）-12017的相反数是（　　）A．12017B．-12017C．2017 D．-2017难度：0.60真题：1组卷：149
24．（2017•大庆）若a的相反数是-3，则a的值为（　　）A．1 B．2 C．3 D．4难度：0.60真题：1组卷：0
25．（2017•海南）2017的相反数是（　　）A．-2017 B．2017 C．-12017D．12017难度：0.60真题：1组卷：20
26．（2017•沈阳）7的相反数是（　　）A．-7 B．-47C．17D．7难度：0.60真题：1组卷：0
27．（2017•郴州）2017的相反数是（　　）A．-2017 B．2017 C．12017D．-12017难度：0.60真题：1组卷：28
28．（2016•青神县模拟）-5的相反数是（　　）A．5 B．-5 C．±5 D．-15难度：0.99真题：17组卷：356
29．（2017•桂平市三模）-3的相反数是（　　）A．−13B．-3 C．13D．3难度：0.82真题：12组卷：59
30．（2017•冷水滩区二模）2017的相反数是（　　）A．2017 B．-2017 C．12017D．-12017难度：0.60真题：8组卷：182
31．（2017•平南县一模）-23相反数的是（　　）A．32B．-32C．-23D．23难度：0.90真题：10组卷：328
32．（2017•本溪二模）-23的相反数是（　　）A．−32B．32C．−23D．23难度：0.93真题：9组卷：240
33．（2016•中山市三模）|-3|的相反数是（　　）A．-3 B．3 C．13D．-13难度：0.87真题：8组卷：417
34．（2017•济宁模拟）-5的相反数是（　　）A．5 B．15C．-15D．-5难度：0.82真题：8组卷：90
35．（2013•洛阳模拟）已知-2的相反数是a，则a是（　　）A．2 B．-12C．12D．-2难度：0.86真题：5组卷：4
36．（2017•邓州市一模）-2的相反数是（　　）A．2 B．12C．-12D．-2难度：0.60真题：6组卷：3
37．（2017•石家庄模拟）−15的倒数的相反数是（　　）A．-5 B．15C．-15D．5难度：0.84真题：5组卷：220
38．（2017•莒县二模）如图，数轴上有A，B，C，D四个点，其中表示2的相反数的点是（　　）A．点A B．点B C．点C D．点D难度：0.80真题：5组卷：594
39．（2017•渭滨区一模）-32的相反数是（　　）A．-32B．32C．-23D．23难度：0.60真题：4组卷：563
40．（2017•简阳市模拟）a与-2互为相反数，则a为（　　）A．-2 B．2 C．12D．−12难度：0.88真题：4组卷：19
41．（2017•利辛县一模）-2017的相反数是（　　）A．2017 B．-2017 C．12017D．-12017难度：0.60真题：2组卷：69
42．（2017•工业园区模拟）23的相反数是（　　）A．23B．32C．-23D．-32难度：0.91真题：3组卷：367
43．（2017•临沂模拟）+（-3）的相反数是（　　）A．-（+3） B．-3 C．3 D．+(−13)难度：0.83真题：3组卷：143
44．（2017•无锡一模）-5的相反数是（　　）A．5 B．±5 C．-5 D．5难度：0.82真题：3组卷：70
45．（2016秋•资中县期末）-2017的相反数是（　　）A．-2017 B．-12017C．12017D．2017难度：0.80真题：2组卷：3
46．（2017•广东模拟）|-12|的相反数是（　　）A．-12B．12C．-2 D．2难度：0.80真题：3组卷：108
47．（2017•蜀山区一模）-32的相反数是（　　）A．32B．-32C．23D．-23难度：0.80真题：3组卷：264
48．（2017•石家庄模拟）-7的相反数是（　　）A．7 B．-7 C．17D．-17难度：0.60真题：3组卷：35
49．（2017•临沂模拟）-12的相反数是（　　）A．2 B．-2 C．-12D．12难度：0.60真题：3组卷：10
50．（2017•临沂模拟）一个数的倒数是-5，则这个数的相反数是（　　）A．0.2 B．5 C．-0.2 D．-5难度：0.90真题：2组卷：60
51．（2017•临沂模拟）若x=-7，则-x的相反数是（　　）A．+7 B．-7 C．±7 D．17难度：0.81真题：2组卷：101
52．（2016秋•武安市期末）与-3的和为0的数是（　　）A．3 B．-3 C．13D．−13难度：0.80真题：1组卷：0
53．（2017•平南县三模）-2017的相反数是（　　）A．12017B．2017 C．-2017 D．-12017难度：0.80真题：2组卷：10
54．（2017•黄石模拟）2017的相反数是（　　）A．12017B．-12017C．-2017 D．2017难度：0.80真题：2组卷：14
55．（2017•新野县一模）-14的相反数是（　　）A．4 B．-14C．14D．-4难度：0.60真题：2组卷：87
56．（2017春•萧山区校级月考）-2017的相反数是（　　）A．2017 B．12017C．-11017D．0难度：0.60真题：1组卷：144
57．（2017•大冶市模拟）4的相反数是（　　）A．14B．-14C．4 D．-4难度：0.60真题：2组卷：6
58．（2017•宁德一模）下列各数中，与3互为相反数的是（　　）A．13B．-3 C．3-1 D．-13难度：0.60真题：2组卷：8
59．（2017•市中区一模）若2（a+3）的值与4互为相反数，则a的值为（　　）A．12B．-5 C．-72D．-1难度：0.60真题：2组卷：157
60．（2017•埇桥区模拟）-2017 的相反数是（　　）A．2017 B．12017C．±2017 D．|-2017|难度：0.60真题：2组卷：4
61．（2017•晋江市模拟）-12017的相反数是（　　）A．-2017 B．2017 C．−12017D．12017难度：0.60真题：2组卷：15
62．（2017•枝江市模拟）-13的相反数是（　　）A．-3 B．13C．3 D．-13难度：0.80真题：1组卷：27
63．（2017•福建模拟）如果a与8互为相反数，那么a是（　　）A．18B．-18C．8 D．-8难度：0.80真题：1组卷：20
64．（2017•张家港市一模）相反数等于2的数是（　　）A．2 B．-2 C．±2 D．12难度：0.60真题：1组卷：17
65．（2017•奉化市模拟）若a与-5互为相反数，则a的值是（　　）A．−15B．15C．-5 D．5难度：0.60真题：1组卷：14
66．（2017•江阴市二模）3的相反数是（　　）A．13B．−13C．-3 D．-1难度：0.60真题：1组卷：4
67．（2017•迁安市一模）下列各数中，相反数为4的是（　　）A．4 B．-4 C．0.4 D．0.25难度：0.60真题：1组卷：15
68．（2017•皇姑区二模）如果n与-3互为相反数，则n的值为（　　）A．-3 B．3 C．13D．-13难度：0.60真题：1组卷：15
69．（2017•长安区一模）比2的相反数小的是（　　）A．5 B．-3 C．0 D．-1难度：0.60真题：1组卷：289
70．（2017•金乡县一模）a（a≠0）的相反数是（　　）A．-a B．a C．|a| D．1a难度：0.60真题：1组卷：67
71．（2017•邗江区三模）-2的相反数是（　　）A．1 B．2 C．-1 D．-2难度：0.60真题：1组卷：4
72．（2017•郯城县二模）-a的相反数是（　　）A．-a B．a C．-1aD．1a难度：0.60真题：1组卷：0
73．（2017•市北区一模）相反数是5的数是（　　）A．5 B．-5 C．15D．-15难度：0.60真题：1组卷：9
74．（2017•永州模拟）-2017的相反数为（　　）A．2017 B．-2017 C．2016 D．-2016难度：0.60真题：1组卷：8
75．（2017•黄石模拟）有理数-0.5的相反数是（　　）A．12B．−12C．-2 D．2难度：0.60真题：1组卷：17
76．（2017•绍兴模拟）-9的相反数是（　　）A．9 B．-9 C．-19D．19难度：0.60真题：1组卷：4
77．（2017•吉林三模）-17的相反数是（　　）A．-17 B．17 C．-117D．117难度：0.60真题：1组卷：5
78．（2017•河北模拟）-2017的相反数是（　　）A．±2017 B．-2017 C．2017 D．-2018难度：0.60真题：1组卷：19
79．（2017•宝山区二模）5的相反数是（　　）A．2 B．-5 C．5 D．15难度：0.60真题：1组卷：7
80．（2017•宝丰县一模）计算：-（-1）=（　　）A．1 B．-1 C．-2 D．±1难度：0.60真题：1组卷：47
81．（2017•白云区一模）-12的相反数是（　　）A．12B．2 C．-0.5 D．-2难度：0.60真题：1组卷：5
82．（2017•新区一模）14的相反数等于（　　）A．−14B．4 C．14D．±14难度：0.60真题：1组卷：13
83．（2017春•江阴市期中）如果a与-3互为相反数，则a等于（　　）A．13B．3 C．-13D．-3难度：0.60真题：1组卷：12
84．（2017春•太和县校级月考）2的相反数是（　　）A．-2 B．2 C．±2 D．0.5难度：0.60真题：1组卷：13
85．（2016•新疆）-3的相反数是（　　）A．3 B．-3 C．13D．-13难度：0.95真题：260组卷：5698
86．（2016•盐城）-5的相反数是（　　）A．-5 B．5 C．-15D．15难度：0.97真题：136组卷：1850
87．（2016•黄冈）-2的相反数是（　　）A．2 B．-2 C．−12D．12难度：0.98真题：93组卷：1542
88．（2016•钦州）2的相反数是（　　）A．-2 B．2 C．-12D．12难度：0.97真题：92组卷：1754
89．（2016•葫芦岛）4的相反数是（　　）A．4 B．-4 C．14D．−14难度：0.91真题：84组卷：1013
90．（2016•宁德）2的相反数是（　　）A．2 B．-2 C．12D．−12难度：0.99真题：81组卷：1261
91．（2016•大连）-3的相反数是（　　）A．13B．−13C．3 D．-3难度：0.98真题：77组卷：760
92．（2016•德州）2的相反数是（　　）A．−12B．12C．-2 D．2难度：0.98真题：72组卷：1253
93．（2016•威海）-13的相反数是（　　）A．3 B．-3 C．13D．-13难度：0.93真题：73组卷：2558
94．（2016•贺州）12的相反数是（　　）A．-12B．12C．-2 D．2难度：0.97真题：64组卷：1484
95．（2016•阜新）2的相反数是（　　）A．-2 B．-12C．12D．2难度：0.96真题：57组卷：324
96．（2016•长春）-5的相反数是（　　）A．−15B．15C．-5 D．5难度：0.88真题：21组卷：412
97．（2016•徐州）-14的相反数是（　　）A．4 B．-4 C．14D．-14难度：0.97真题：15组卷：557
98．（2016•海南）2016的相反数是（　　）A．2016 B．-2016 C．12016D．-12016难度：0.60真题：10组卷：1338
99．（2016•漳州）-3的相反数是（　　）A．3 B．-3 C．−13D．13难度：0.60真题：9组卷：627
100．（2016•福州）A，B是数轴上两点，线段AB上的点表示的数中，有互为相反数的是（　　）A． B． C． D．难度：0.80真题：5组卷：2528
101．（2016•铜仁市）−12的相反数等于（　　）A．−12B．12C．-2 D．2难度：0.80真题：5组卷：324
102．（2016•雅安）-2016的相反数是（　　）A．-2016 B．2016 C．-12016D．12016难度：0.60真题：5组卷：688
103．（2016•河南）-13的相反数是（　　）A．-13B．13C．-3 D．3难度：0.60真题：5组卷：501
104．（2016•龙岩）-2的相反数是（　　）A．-12B．12C．-2 D．2难度：0.80真题：3组卷：128
105．（2016•益阳）−12016的相反数是（　　）A．2016 B．-2016 C．12016D．−12016难度：0.60真题：4组卷：1367
106．（2016•河北）计算：-（-1）=（　　）A．±1 B．-2 C．-1 D．1难度：0.60真题：4组卷：1085
