1．（2017•随州）-2的绝对值是（　　）A．2 B．-2 C．12D．−12难度：0.98真题：121组卷：828
2．（2017•深圳）-2的绝对值是（　　）A．-2 B．2 C．-12D．12难度：0.88真题：17组卷：301
3．（2017•泸州）-7的绝对值是（　　）A．7 B．-7 C．17D．-17难度：0.99真题：16组卷：94
4．（2017•黔东南州）|-2|的值是（　　）A．-2 B．2 C．-12D．12难度：0.88真题：4组卷：81
5．（2017•日照）-3的绝对值是（　　）A．-3 B．3 C．±3 D．13难度：0.80真题：1组卷：24
6．（2017•孝感）-13的绝对值是（　　）A．-3 B．3 C．13D．-13难度：0.80真题：1组卷：52
7．（2017•齐齐哈尔）-2017的绝对值是（　　）A．-2017 B．-12017C．2017 D．12017难度：0.60真题：1组卷：39
8．（2017•百色）化简：|-15|等于（　　）A．15 B．-15 C．±15 D．115难度：0.60真题：1组卷：19
9．（2017•恩施州）7的绝对值是（　　）A．-7 B．7 C．17D．−17难度：0.60真题：1组卷：22
10．（2017•天水）若x与3互为相反数，则|x+3|等于（　　）A．0 B．1 C．2 D．3难度：0.60真题：1组卷：67
11．（2017•宁德）-3的绝对值是（　　）A．3 B．13C．−13D．-3难度：0.60真题：1组卷：0
12．（2017•黄冈）计算：|-13|=（　　）A．13B．−13C．3 D．-3难度：0.60真题：1组卷：46
13．（2017•安顺）-2017的绝对值是（　　）A．2017 B．-2017 C．±2017 D．-12017难度：0.60真题：1组卷：22
14．（2017•连云港）2的绝对值是（　　）A．-2 B．2 C．-12D．12难度：0.60真题：1组卷：34
15．（2017•金安区校级模拟）如图，数轴上的点A所表示的数为k，化简|k|+|1-k|的结果为（　　）A．1 B．2k-1 C．2k+1 D．1-2k难度：0.54真题：18组卷：605
16．（2017•潮阳区模拟）-3的绝对值是（　　）A．-3 B．−13C．3 D．±3难度：0.82真题：15组卷：33
17．（2015秋•余姚市校级期中）已知a，b是有理数，|ab|=-ab（ab≠0），|a+b|=|a|-b．用数轴上的点来表示a，b下列正确的是（　　）A． B． C． D．难度：0.54真题：12组卷：197
18．（2017•阜宁县一模）−12的绝对值等于（　　）A．-2 B．2 C．−12D．12难度：0.94真题：12组卷：175
19．（2017•江北区模拟）-2的绝对值是（　　）A．-2 B．2 C．12D．-12难度：0.99真题：10组卷：206
20．（2017•蜀山区校级模拟）若|m|=3，|n|=5，且m-n＞0，则m+n的值是（　　）A．-2 B．-8或8 C．-8或-2 D．8或-2难度：0.83真题：9组卷：96
21．（2017•临高县校级模拟）下列说法正确的是（　　）A．有理数的绝对值一定是正数B．如果两个数的绝对值相等，那么这两个数相等C．如果一个数是负数，那么这个数的绝对值是它的相反数D．绝对值越大，这个数就越大难度：0.92真题：8组卷：187
22．-15的绝对值是（　　）A．5 B．-5 C．15D．-15难度：0.80真题：7组卷：102
23．（2017•焦作一模）−15的绝对值是（　　）A．5 B．15C．−15D．-5难度：0.87真题：6组卷：102
24．（2017•黄冈模拟）-2017的绝对值是（　　）A．2017 B．12017C．-2017 D．-12017难度：0.60真题：5组卷：201
25．（2017•开县一模）5的绝对值是（　　）A．5 B．-5 C．±5 D．15难度：0.96真题：4组卷：183
26．（2017•洛阳一模）|−15|的相反数是（　　）A．15B．−15C．-5 D．5难度：0.82真题：5组卷：24
27．（2017•临沂模拟）绝对值等于9的数是（　　）A．9 B．-9 C．9或-9 D．19难度：0.83真题：3组卷：162
28．（2017•郑州二模）-2017的绝对值是（　　）A．2017 B．-2017 C．12017D．-12017难度：0.60真题：4组卷：38
29．（2017•石城县模拟）-6的绝对值是（　　）A．-6 B．16C．-16D．6难度：0.99真题：3组卷：118
30．（2017•邹城市模拟）−13的绝对值为（　　）A．−13B．±13C．13D．3难度：0.92真题：2组卷：17
31．（2017•临沂模拟）-3的绝对值是（　　）A．-3 B．±3 C．+3 D．以上都不对难度：0.82真题：3组卷：59
32．（2017•定安县一模）-5的绝对值是（　　）A．5 B．15C．±5 D．-15难度：0.60真题：3组卷：69
33．（2017•玉田县二模）9的绝对值是（　　）A．9 B．-9 C．19D．−19难度：0.91真题：2组卷：11
34．（2017•保康县模拟）若|a|=2，则a的值是（　　）A．-2 B．2 C．12D．±2难度：0.90真题：2组卷：39
35．（2016•费县二模）-3的倒数的绝对值是（　　）A．-3 B．-13C．13D．3难度：0.80真题：1组卷：95
